Fecha,Temperatura media (°C),Temperatura máxima (°C),Temperatura mínima (°C),Humedad (%),Precipitación (mm),Índice de calor (°C)
17/2/2022,"23,38","29,4","18,3","80,83",0,"24,78"
18/2/2022,"21,29","23,8","18,9","89,08",9,"22,4"
19/2/2022,"22,57","29,8","17,3","78,67",0,"23,48"
20/2/2022,"23,19","28,5","19,8","78,33","0,2","24,28"
21/2/2022,"22,19",30,"18,1","81,83","28,8","23,3"
22/2/2022,"21,84","28,4","16,2",81,0,"22,73"
23/2/2022,"23,54","30,5","18,8",78,5,"24,73"
24/2/2022,"21,69","26,9",19,"88,92","43,6","22,98"
25/2/2022,"22,48","29,1","19,3","84,75",3,"23,75"
26/2/2022,"22,84","27,1","20,1","84,33","0,2","24,14"
27/2/2022,"21,85","27,1","19,3","87,25","25,4","23,04"
28/2/2022,"21,87","26,8","18,9","86,75",15,"23,02"
1/3/2022,"22,53","27,2","19,7","82,58","0,4","23,61"
2/3/2022,"22,14","27,7","20,1","84,5","0,4","23,3"
3/3/2022,"21,87","27,3","19,2","87,83","1,6","23,08"
4/3/2022,"22,03","26,1","19,9","86,75","0,2","23,2"
5/3/2022,"21,52","24,9","19,5","88,42","1,2","22,71"
6/3/2022,"20,88","25,8","18,7","89,08","7,8","21,93"
7/3/2022,"21,93","26,7","18,6","85,5","0,6","23,03"
8/3/2022,"23,77","30,4","18,9","75,92",0,"24,85"
9/3/2022,"24,1","30,7","19,7","72,58",0,"25,17"
10/3/2022,"23,68","30,7","19,8","74,42","1,2","24,73"
11/3/2022,"22,88","29,1","19,7","77,5",0,"23,86"
12/3/2022,"23,33","30,6","17,1","71,58",0,"24,08"
13/3/2022,"23,91","31,6","18,5","71,25",0,"24,78"
14/3/2022,"23,98","31,3","19,3","73,5",0,"25,03"
15/3/2022,"22,46","28,4","18,6","82,42","24,8","23,55"
16/3/2022,"22,43",27,"19,4","82,75","2,4","23,48"
17/3/2022,"22,28","28,2","18,7",84,10,"23,45"
18/3/2022,"22,58","28,9","19,4","81,42","1,2","23,73"
19/3/2022,"22,61","27,4","19,9","85,75","0,4","23,88"
20/3/2022,"22,48","28,8","19,9","85,08","0,6","23,73"
21/3/2022,"22,48","29,8","18,4","84,17","1,2","23,71"
22/3/2022,"23,46","28,4","20,1","82,25",0,"24,83"
23/3/2022,"24,07","29,3","21,3","80,08",0,"25,43"
24/3/2022,"23,68","29,5","20,8","80,92",0,"25,04"
25/3/2022,"22,83","28,6","19,4","82,17",1,"24,13"
26/3/2022,"21,88","27,6","19,7","88,42","5,8","23,22"
27/3/2022,"20,97","26,3","19,2","92,08","16,4","22,25"
28/3/2022,"22,38","29,1","18,2","83,83","16,8","23,61"
29/3/2022,"21,7","27,7","19,1","88,42","7,8","22,99"
30/3/2022,"22,07","29,1","18,4","85,92","1,2","23,33"
31/3/2022,"21,28","26,4","19,2","88,08","3,6","22,41"
1/4/2022,"22,12",28,"17,7","85,75","2,8","23,34"
2/4/2022,"24,5","31,1",20,"79,08",0,"26,28"
3/4/2022,"22,65","29,5","19,1","86,08","13,6","23,99"
4/4/2022,"22,49","28,1",19,"84,08",0,"23,73"
5/4/2022,24,"30,5","18,8","77,42",0,"25,41"
6/4/2022,"23,78","29,5","20,5",79,0,"25,14"
7/4/2022,"23,31","28,2","20,2",82,0,"24,61"
8/4/2022,"23,02","29,1","20,4","85,92","8,6","24,48"
9/4/2022,"23,26","28,6","20,1","84,17","2,6","24,78"
10/4/2022,"23,07","27,2","20,2","84,83","1,2","24,46"
11/4/2022,"23,28","29,6","19,8","83,25",8,"24,77"
12/4/2022,"23,08",28,"20,1","86,92","3,8","24,6"
13/4/2022,"23,73","28,7","19,7","80,08",0,"25,12"
14/4/2022,"23,56","29,8","18,5","77,33","0,8","24,73"
15/4/2022,"23,83","30,9","18,6","79,5",0,"25,35"
16/4/2022,"22,64","26,7","19,2","84,67","4,8","23,86"
